clients per round,train_bs,rounds,lr,avg minibatch time (s),memory %,CPU %,diff time wrt prev
3,1,100,0.0001,0.017,13.5,305,0.017
3,2,100,0.0001,0.027,13.5,,0.011
3,4,100,0.0001,0.036,13.6,,0.009
3,8,100,0.0001,0.055,13.6,,0.019
3,10,100,0.0001,0.063,13.6,360,0.007
3,16,100,0.0001,0.088,13.7,,0.026
3,32,100,0.0001,0.160,13.9,,0.071
3,64,100,0.0001,0.299,14.3,,0.140
3,128,100,0.0001,0.574,14.9,,0.274
3,256,100,0.0001,1.142,15.3,,0.569
3,512,100,0.0001,2.381,16.6,385,1.239
3,1024,100,0.0001,4.982,18.3,387,2.600
3,2048,100,0.0001,9.885,22.2,390,4.904